#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
184,2000	1,8
184,4000	1,8
184,6000	1,8
184,8000	1,8
185,0000	1,8
185,2000	1,8
185,4000	1,8
185,6000	1,8
185,8000	1,9
186,0000	1,9
186,2000	1,9
186,4000	1,9
186,6000	1,9
186,8000	1,9
187,0000	1,9
187,2000	1,9
187,4000	1,9
187,6000	1,9
187,8000	1,9
188,0000	1,9
188,2000	1,9
188,4000	1,9
188,6000	1,9
188,8000	1,9
189,0000	1,9
189,2000	1,9
189,4000	1,9
189,6000	1,9
189,8000	1,9
190,0000	2,0
190,2000	2,0
190,4000	2,0
190,6000	2,0
190,8000	2,0
191,0000	2,0
191,2000	2,0
191,4000	2,0
191,6000	2,0
191,8000	2,0
192,0000	2,0
192,2000	2,0
192,4000	2,0
192,6000	2,0
192,8000	2,0
193,0000	2,0
193,2000	2,0
193,4000	2,0
193,6000	2,1
193,8000	2,1
194,0000	2,1
194,2000	2,1
194,4000	2,1
194,6000	2,1
194,8000	2,1
195,0000	2,1
195,2000	2,1
195,4000	2,1
195,6000	2,1
195,8000	2,1
196,0000	2,1
196,2000	2,1
196,4000	2,1
196,6000	2,1
196,8000	2,2
197,0000	2,2
197,2000	2,2
197,4000	2,2
197,6000	2,2
197,8000	2,2
198,0000	2,2
198,2000	2,2
198,4000	2,2
198,6000	2,2
198,8000	2,2
199,0000	2,3
199,2000	2,3
199,4000	2,3
199,6000	2,3
199,8000	2,3
200,0000	2,3
200,2000	2,3
200,4000	2,3
200,6000	2,3
200,8000	2,4
201,0000	2,4
201,2000	2,4
201,4000	2,4
201,6000	2,4
201,8000	2,4
202,0000	2,4
202,2000	2,5
202,4000	2,5
202,6000	2,5
202,8000	2,5
203,0000	2,5
203,2000	2,5
203,4000	2,6
203,6000	2,6
203,8000	2,6
204,0000	2,6
204,2000	2,7
204,4000	2,7
204,6000	2,7
204,8000	2,7
205,0000	2,7
205,2000	2,8
205,4000	2,8
205,6000	2,8
205,8000	2,8
206,0000	2,9
206,2000	2,9
206,4000	2,9
206,6000	3,0
206,8000	3,0
207,0000	3,0
207,2000	3,1
207,4000	3,1
207,6000	3,1
207,8000	3,2
208,0000	3,2
208,2000	3,3
208,4000	3,3
208,6000	3,4
208,8000	3,4
209,0000	3,5
209,2000	3,5
209,4000	3,6
209,6000	3,7
209,8000	3,7
210,0000	3,8
210,2000	3,9
210,4000	3,9
210,6000	4,0
210,8000	4,1
211,0000	4,2
211,2000	4,2
211,4000	4,3
211,6000	4,4
211,8000	4,5
212,0000	4,6
212,2000	4,7
212,4000	4,7
212,6000	4,8
212,8000	4,9
213,0000	5,0
213,2000	5,1
213,4000	5,2
213,6000	5,3
213,8000	5,4
214,0000	5,4
214,2000	5,5
214,4000	5,6
214,6000	5,7
214,8000	5,8
215,0000	5,9
215,2000	6,0
215,4000	6,0
215,6000	6,1
215,8000	6,2
216,0000	6,3
216,2000	6,4
216,4000	6,5
216,6000	6,6
216,8000	6,6
217,0000	6,7
217,2000	6,8
217,4000	6,9
217,6000	7,0
217,8000	7,1
218,0000	7,2
218,2000	7,2
218,4000	7,3
218,6000	7,4
218,8000	7,5
219,0000	7,6
219,2000	7,6
219,4000	7,7
219,6000	7,8
219,8000	7,9
220,0000	8,0
220,2000	8,0
220,4000	8,1
220,6000	8,2
220,8000	8,3
221,0000	8,4
221,2000	8,4
221,4000	8,5
221,6000	8,6
221,8000	8,7
222,0000	8,7
222,2000	8,8
222,4000	8,9
222,6000	9,0
222,8000	9,1
223,0000	9,1
223,2000	9,2
223,4000	9,3
223,6000	9,4
223,8000	9,4
224,0000	9,5
224,2000	9,6
224,4000	9,7
224,6000	9,8
224,8000	9,8
225,0000	9,9
225,2000	10,0
225,4000	10,1
225,6000	10,2
225,8000	10,2
226,0000	10,3
226,2000	10,4
226,4000	10,5
226,6000	10,5
226,8000	10,6
227,0000	10,7
227,2000	10,8
227,4000	10,9
227,6000	10,9
227,8000	11,0
228,0000	11,1
228,2000	11,2
228,4000	11,3
228,6000	11,3
228,8000	11,4
229,0000	11,5
229,2000	11,6
229,4000	11,7
229,6000	11,7
229,8000	11,8
230,0000	11,9
230,2000	12,0
230,4000	12,0
230,6000	12,1
230,8000	12,2
231,0000	12,3
231,2000	12,4
231,4000	12,4
231,6000	12,5
231,8000	12,6
232,0000	12,7
232,2000	12,8
232,4000	12,9
232,6000	13,0
232,8000	13,0
233,0000	13,1
233,2000	13,2
233,4000	13,3
233,6000	13,4
233,8000	13,5
234,0000	13,6
234,2000	13,7
234,4000	13,8
234,6000	13,8
234,8000	13,9
235,0000	14,0
235,2000	14,1
235,4000	14,2
235,6000	14,3
235,8000	14,4
236,0000	14,5
236,2000	14,6
236,4000	14,7
236,6000	14,8
236,8000	14,9
237,0000	14,9
237,2000	15,0
237,4000	15,1
237,6000	15,2
237,8000	15,3
238,0000	15,4
238,2000	15,5
238,4000	15,6
238,6000	15,7
238,8000	15,8
239,0000	15,9
239,2000	15,9
239,4000	16,0
239,6000	16,1
239,8000	16,2
240,0000	16,3
240,2000	16,4
240,4000	16,5
240,6000	16,6
240,8000	16,6
241,0000	16,7
241,2000	16,8
241,4000	16,9
241,6000	17,0
241,8000	17,1
242,0000	17,2
242,2000	17,2
242,4000	17,3
242,6000	17,4
242,8000	17,5
243,0000	17,6
243,2000	17,7
243,4000	17,7
243,6000	17,8
243,8000	17,9
244,0000	18,0
244,2000	18,1
244,4000	18,2
244,6000	18,2
244,8000	18,3
245,0000	18,4
245,2000	18,5
245,4000	18,6
245,6000	18,6
245,8000	18,7
246,0000	18,8
246,2000	18,9
246,4000	19,0
246,6000	19,0
246,8000	19,1
247,0000	19,2
247,2000	19,3
247,4000	19,3
247,6000	19,4
247,8000	19,5
248,0000	19,6
248,2000	19,6
248,4000	19,7
248,6000	19,8
248,8000	19,9
249,0000	19,9
249,2000	20,0
249,4000	20,1
249,6000	20,2
249,8000	20,2
250,0000	20,3
250,2000	20,4
250,4000	20,5
250,6000	20,5
250,8000	20,6
251,0000	20,7
251,2000	20,7
251,4000	20,8
251,6000	20,9
251,8000	21,0
252,0000	21,0
252,2000	21,1
252,4000	21,2
252,6000	21,3
252,8000	21,3
253,0000	21,4
253,2000	21,5
253,4000	21,5
253,6000	21,6
253,8000	21,7
254,0000	21,8
254,2000	21,8
254,4000	21,9
254,6000	22,0
254,8000	22,0
255,0000	22,1
255,2000	22,2
255,4000	22,3
255,6000	22,3
255,8000	22,4
256,0000	22,5
256,2000	22,5
256,4000	22,6
256,6000	22,7
256,8000	22,8
257,0000	22,8
257,2000	22,9
257,4000	23,0
257,6000	23,0
257,8000	23,1
258,0000	23,2
258,2000	23,2
258,4000	23,3
258,6000	23,4
258,8000	23,5
259,0000	23,5
259,2000	23,6
259,4000	23,7
259,6000	23,7
259,8000	23,8
260,0000	23,9
260,2000	24,0
260,4000	24,0
260,6000	24,1
260,8000	24,2
261,0000	24,2
261,2000	24,3
261,4000	24,4
261,6000	24,4
261,8000	24,5
262,0000	24,6
262,2000	24,6
262,4000	24,7
262,6000	24,8
262,8000	24,9
263,0000	24,9
263,2000	25,0
263,4000	25,1
